Datetime,Close,High,Low,Open,Volume
2025-07-16 13:30:00-04:00,126.0145034790039,126.0459976196289,125.30400085449219,126.0459976196289,0
2025-07-16 14:30:00-04:00,125.78900146484375,126.135498046875,125.60350036621094,126.09906005859375,380394
2025-07-16 15:30:00-04:00,125.02400207519531,125.80000305175781,124.98199462890625,125.75,480049
2025-07-17 09:30:00-04:00,125.5510025024414,126.19798278808594,124.48004150390625,125.30000305175781,947607
2025-07-17 10:30:00-04:00,126.0270004272461,126.09999084472656,125.5,125.5510025024414,547752
2025-07-17 11:30:00-04:00,126.31500244140625,126.44950103759766,125.54399108886719,126.06999206542969,472401
2025-07-17 12:30:00-04:00,126.79998779296875,126.79998779296875,125.86299896240234,126.28900146484375,483637
2025-07-17 13:30:00-04:00,127.0770034790039,127.24849700927734,126.48399353027344,126.66600036621094,569231
2025-07-17 14:30:00-04:00,127.26899719238281,127.4074935913086,126.89200592041016,127.125244140625,666987
2025-07-17 15:30:00-04:00,127.56199645996094,127.75,127.10099792480469,127.2385025024414,1060000
2025-07-18 09:30:00-04:00,121.03630065917969,124.6500015258789,120.10099792480469,124.3499984741211,4661567
2025-07-18 10:30:00-04:00,121.39599609375,121.48299407958984,120.13299560546875,120.94999694824219,1354607
2025-07-18 11:30:00-04:00,121.46700286865234,121.9000015258789,121.19999694824219,121.43699645996094,969574
2025-07-18 12:30:00-04:00,121.2774429321289,121.47700500488281,120.57499694824219,121.47700500488281,741328
2025-07-18 13:30:00-04:00,121.67399597167969,121.75300598144531,121.05550384521484,121.33000183105469,853468
2025-07-18 14:30:00-04:00,120.7229995727539,121.6500015258789,120.59864807128906,121.64449310302734,745947
2025-07-18 15:30:00-04:00,120.89100646972656,121.02799987792969,120.4800033569336,120.72450256347656,846410
2025-07-21 09:30:00-04:00,121.31600189208984,121.70799255371094,119.80000305175781,120.5999984741211,1362739
2025-07-21 10:30:00-04:00,122.14300537109375,122.2439956665039,121.27099609375,121.3479995727539,742779
2025-07-21 11:30:00-04:00,122.45500183105469,122.65889739990234,121.8160171508789,122.17399597167969,938842
2025-07-21 12:30:00-04:00,122.66190338134766,123.0219955444336,122.33500671386719,122.4489974975586,439207
2025-07-21 13:30:00-04:00,123.18499755859375,123.70600891113281,122.58499908447266,122.71199798583984,481040
2025-07-21 14:30:00-04:00,123.40799713134766,123.6709976196289,122.9000015258789,123.20399475097656,560356
2025-07-21 15:30:00-04:00,123.26300048828125,123.7082290649414,123.10799407958984,123.4000015258789,598540
2025-07-22 09:30:00-04:00,121.3689956665039,123.23699951171875,120.97200012207031,123.03800201416016,1112043
2025-07-22 10:30:00-04:00,120.7750015258789,121.7490005493164,120.72599792480469,121.44000244140625,640708
2025-07-22 11:30:00-04:00,120.3175048828125,120.86500549316406,120.2229995727539,120.79000091552734,607263
2025-07-22 12:30:00-04:00,120.24300384521484,120.46500396728516,119.71800231933594,120.32149505615234,633097
2025-07-22 13:30:00-04:00,120.12049865722656,120.2665023803711,119.62190246582031,120.20001220703125,385563
2025-07-22 14:30:00-04:00,119.4802474975586,120.19000244140625,119.29100036621094,120.09700012207031,570651
2025-07-22 15:30:00-04:00,118.98600006103516,119.53898620605469,118.75,119.51881408691406,661948
2025-07-23 09:30:00-04:00,117.73899841308594,119.2619400024414,117.41500091552734,118.28499603271484,1249355
2025-07-23 10:30:00-04:00,117.67399597167969,118.0,117.44999694824219,117.77299499511719,570400
2025-07-23 11:30:00-04:00,117.7490005493164,118.10198974609375,117.55500793457031,117.75732421875,420138
2025-07-23 12:30:00-04:00,117.72599792480469,117.96199798583984,117.60001373291016,117.7020034790039,379498
2025-07-23 13:30:00-04:00,117.8425064086914,117.88299560546875,117.4000015258789,117.6810073852539,330247
2025-07-23 14:30:00-04:00,117.69549560546875,118.1189956665039,117.57332611083984,117.822998046875,452541
