Datetime,Close,High,Low,Open,Volume
2026-06-23 09:30:00-04:00,7365.2099609375,7366.509765625,7347.60009765625,7366.509765625,0
2026-06-23 09:35:00-04:00,7371.56005859375,7372.08984375,7352.0498046875,7365.2998046875,62032022
2026-06-23 09:40:00-04:00,7376.6298828125,7381.47998046875,7367.27978515625,7372.31005859375,51064330
2026-06-23 09:45:00-04:00,7391.16015625,7396.740234375,7373.52001953125,7376.330078125,51358062
2026-06-23 09:50:00-04:00,7394.41015625,7398.9599609375,7391.4599609375,7391.4599609375,44041261
2026-06-23 09:55:00-04:00,7399.4501953125,7399.4501953125,7389.4501953125,7394.81982421875,40166788
2026-06-23 10:00:00-04:00,7407.81982421875,7410.5498046875,7398.14990234375,7399.22021484375,46013725
2026-06-23 10:05:00-04:00,7411.509765625,7413.2099609375,7404.2001953125,7408.0,38355283
2026-06-23 10:10:00-04:00,7417.60009765625,7418.1201171875,7409.68017578125,7411.77001953125,38006997
2026-06-23 10:15:00-04:00,7420.06005859375,7420.43994140625,7413.52978515625,7417.3798828125,32035838
2026-06-23 10:20:00-04:00,7416.72998046875,7424.169921875,7413.2998046875,7419.66015625,34477483
2026-06-23 10:25:00-04:00,7417.41015625,7417.41015625,7409.56982421875,7416.68994140625,33797331
2026-06-23 10:30:00-04:00,7410.240234375,7418.56005859375,7406.06982421875,7417.14013671875,34781501
2026-06-23 10:35:00-04:00,7404.759765625,7415.68994140625,7404.06005859375,7409.9501953125,31014525
2026-06-23 10:40:00-04:00,7401.2001953125,7409.27978515625,7400.240234375,7404.4501953125,29401620
2026-06-23 10:45:00-04:00,7400.93017578125,7403.43994140625,7395.27001953125,7401.5400390625,31141903
2026-06-23 10:50:00-04:00,7399.580078125,7407.41015625,7396.14990234375,7401.169921875,29802297
2026-06-23 10:55:00-04:00,7397.47021484375,7400.990234375,7393.7900390625,7399.4501953125,28938927
2026-06-23 11:00:00-04:00,7393.3798828125,7402.0498046875,7392.259765625,7398.02001953125,27377634
2026-06-23 11:05:00-04:00,7387.5,7394.5400390625,7384.72998046875,7393.580078125,29926432
2026-06-23 11:10:00-04:00,7388.7099609375,7390.06982421875,7384.60986328125,7387.43017578125,29500100
2026-06-23 11:15:00-04:00,7379.97021484375,7389.8798828125,7379.4501953125,7388.740234375,29888314
2026-06-23 11:20:00-04:00,7374.2099609375,7383.0498046875,7374.169921875,7379.9599609375,26371503
2026-06-23 11:25:00-04:00,7373.18017578125,7376.5,7370.60986328125,7374.2099609375,26246000
2026-06-23 11:30:00-04:00,7377.60009765625,7380.33984375,7372.330078125,7373.31005859375,25057000
2026-06-23 11:35:00-04:00,7372.93017578125,7382.6201171875,7370.9599609375,7377.27978515625,27430000
2026-06-23 11:40:00-04:00,7377.490234375,7379.41015625,7370.5,7372.89013671875,24199000
2026-06-23 11:45:00-04:00,7378.330078125,7382.5,7375.97998046875,7377.77978515625,23951000
2026-06-23 11:50:00-04:00,7387.02001953125,7390.2099609375,7377.5,7378.52001953125,28852000
2026-06-23 11:55:00-04:00,7387.7998046875,7389.77001953125,7382.14990234375,7387.1201171875,25141000
2026-06-23 12:00:00-04:00,7395.02978515625,7395.2001953125,7387.08984375,7387.81005859375,26071000
2026-06-23 12:05:00-04:00,7399.81005859375,7400.18017578125,7393.89013671875,7395.1201171875,24162000
2026-06-23 12:10:00-04:00,7402.68017578125,7404.85986328125,7399.6298828125,7399.6298828125,23049000
2026-06-23 12:15:00-04:00,7398.509765625,7404.1298828125,7397.4599609375,7402.81982421875,20082000
2026-06-23 12:20:00-04:00,7401.89013671875,7402.31005859375,7394.14990234375,7398.31982421875,22212000
2026-06-23 12:25:00-04:00,7402.10009765625,7403.14990234375,7398.7900390625,7401.60009765625,19875000
2026-06-23 12:30:00-04:00,7399.06005859375,7402.60009765625,7397.6201171875,7401.7001953125,25086000
2026-06-23 12:35:00-04:00,7403.16015625,7403.259765625,7398.3798828125,7399.1201171875,19463000
2026-06-23 12:40:00-04:00,7406.52978515625,7407.56005859375,7402.919921875,7402.919921875,20370000
2026-06-23 12:45:00-04:00,7401.81982421875,7407.25,7399.33984375,7406.64013671875,20388000
2026-06-23 12:50:00-04:00,7401.10009765625,7401.990234375,7397.60986328125,7401.83984375,19847000
2026-06-23 12:55:00-04:00,7402.330078125,7404.25,7398.509765625,7401.1201171875,23031000
2026-06-23 13:00:00-04:00,7395.31982421875,7402.6201171875,7394.39990234375,7402.31005859375,23527000
2026-06-23 13:05:00-04:00,7397.31005859375,7397.60009765625,7393.3701171875,7395.35986328125,25503000
2026-06-23 13:10:00-04:00,7401.66015625,7405.1201171875,7397.1298828125,7397.35009765625,22052000
2026-06-23 13:15:00-04:00,7399.06005859375,7403.43017578125,7397.6201171875,7401.64013671875,19771000
2026-06-23 13:20:00-04:00,7407.0,7408.60009765625,7398.7998046875,7399.06005859375,25704000
2026-06-23 13:25:00-04:00,7403.64990234375,7407.06982421875,7403.22021484375,7407.02001953125,19321000
2026-06-23 13:30:00-04:00,7405.06982421875,7405.14990234375,7399.97998046875,7403.4599609375,18546000
2026-06-23 13:35:00-04:00,7403.5498046875,7408.35009765625,7402.97021484375,7405.4599609375,19631000
2026-06-23 13:40:00-04:00,7399.8701171875,7404.3701171875,7399.169921875,7403.58984375,22066000
2026-06-23 13:45:00-04:00,7400.5498046875,7402.4501953125,7398.77001953125,7399.72021484375,27520000
2026-06-23 13:50:00-04:00,7389.31005859375,7400.66015625,7389.16015625,7400.6201171875,25096000
2026-06-23 13:55:00-04:00,7386.35986328125,7390.4501953125,7385.89990234375,7389.43994140625,23479000
2026-06-23 14:00:00-04:00,7388.64990234375,7393.68994140625,7385.64013671875,7386.169921875,28827000
2026-06-23 14:05:00-04:00,7385.7900390625,7389.18017578125,7382.419921875,7388.6298828125,27403000
2026-06-23 14:10:00-04:00,7386.4501953125,7388.02978515625,7385.330078125,7385.7900390625,21528000
2026-06-23 14:15:00-04:00,7384.18994140625,7388.1201171875,7383.06982421875,7386.52978515625,21371000
2026-06-23 14:20:00-04:00,7385.009765625,7386.7998046875,7380.72021484375,7384.14990234375,20225000
2026-06-23 14:25:00-04:00,7382.2001953125,7385.2001953125,7381.419921875,7385.080078125,20492000
2026-06-23 14:30:00-04:00,7379.330078125,7382.9599609375,7379.06982421875,7382.2900390625,21292000
2026-06-23 14:35:00-04:00,7377.009765625,7380.7001953125,7376.6201171875,7379.43994140625,25204000
2026-06-23 14:40:00-04:00,7365.990234375,7377.02978515625,7365.8701171875,7377.009765625,27745000
2026-06-23 14:45:00-04:00,7367.330078125,7367.759765625,7362.830078125,7365.990234375,27627000
2026-06-23 14:50:00-04:00,7364.669921875,7372.77978515625,7361.22021484375,7367.22998046875,25838000
2026-06-23 14:55:00-04:00,7368.39013671875,7370.25,7361.759765625,7364.97021484375,25586000
2026-06-23 15:00:00-04:00,7377.47021484375,7378.080078125,7366.18017578125,7368.419921875,31091000
2026-06-23 15:05:00-04:00,7372.4501953125,7384.14013671875,7370.2900390625,7377.64990234375,32672000
2026-06-23 15:10:00-04:00,7372.2099609375,7376.39990234375,7370.18017578125,7372.41015625,27177000
2026-06-23 15:15:00-04:00,7366.169921875,7373.91015625,7365.97998046875,7372.4599609375,27938000
